borrow_id,member_id,book_isbn,borrow_date,due_date,return_date,member_name,member_email,member_phone,member_address,book,publication_year,copies_available,genre_id,genre_name,author_id,author_name,author_nationality,author_bio
1,17,978-1-71363-639-7,2025-01-14,2025-01-28,2025-02-03,Miss Mary Fuller,donnellyvictor@hotmail.co.uk,+44 7837740780,"8 Clark shores, East Jessica, NW53 9TY",Similique similique quia,1999,1,4,History,5,Christopher King,Dominican Republic,Repellat dolorem porro. Velit iure nobis esse assumenda nam aliquam doloribus. Velit nobis eum odit minima qui itaque nostrum.
2,24,978-0-02-781214-5,2025-02-21,2025-03-07,,Damian Mills,jakewells@saunders.com,+44 7256813716,"Studio 33
Davis extensions, East Hollie, CM5B 4BL",Autem illum,1939,6,2,Non-Fiction,8,Dylan Robinson,French Southern Territories,Iusto nam adipisci placeat itaque inventore dolorum.
3,6,978-1-238-23771-0,2025-03-26,2025-04-09,,Mrs Rosie Clarke,ylee@bevan-moore.com,+44 7272123387,"Studio 7
Conor estates, Barrettfort, E8 9QP",Adipisci veniam,1928,10,6,Technology,4,Dr Liam Ali,Malaysia,Quis vel quae. Fuga unde reiciendis nam consequuntur.
4,24,978-1-967139-34-7,2025-03-04,2025-03-18,2025-04-01,Damian Mills,jakewells@saunders.com,+44 7256813716,"Studio 33
Davis extensions, East Hollie, CM5B 4BL",Beatae voluptates,1996,10,6,Technology,4,Dr Liam Ali,Malaysia,Quis vel quae. Fuga unde reiciendis nam consequuntur.
5,1,978-0-392-43829-2,2025-01-07,2025-01-21,2025-01-30,Julian Collier,fadams@yahoo.com,+44 7979552484,"52 Kyle harbor, West Eileen, IP29 7YP",Voluptatum ipsum facere,2021,5,4,History,3,Mr Shane Hart,Namibia,Nisi modi nisi non architecto unde. Aperiam libero placeat. Consectetur labore quo vitae neque dicta explicabo.
6,15,978-1-03-302658-8,2025-01-03,2025-01-17,,Scott White,robinbaker@lewis.com,+44 7816816653,"Flat 11
Joshua divide, South Lynnstad, N32 1QW",Necessitatibus,1943,10,3,Science,8,Dylan Robinson,French Southern Territories,Iusto nam adipisci placeat itaque inventore dolorum.
7,25,978-0-11-601300-2,2024-12-30,2025-01-13,,Sandra Storey,charlotteedwards@burton.info,+44 7109096529,"Flat 78
Lewis tunnel, New Linda, NE68 8FH",Nostrum explicabo,1921,2,5,Biography,7,Dr Tracy Stevenson,Svalbard & Jan Mayen Islands,Consequatur aperiam praesentium debitis ducimus.
8,12,978-1-72950-443-7,2025-02-13,2025-02-27,2025-03-03,Miss Kathleen Dickinson,kevinholmes@outlook.com,+44 7782311949,"Flat 43f
Rose course, Allenfurt, DL63 5YF",Facere magni,2014,7,1,Fiction,1,Toby Carpenter,Mayotte,Eum exercitationem dicta ad saepe facilis. Facilis tempore omnis soluta a natus hic. Necessitatibus architecto a soluta tenetur aut repellat.
9,13,978-0-339-40244-7,2025-03-29,2025-04-12,2025-04-10,Leanne Baxter,terencewebb@outlook.com,+44 7761292560,"Studio 1
Jake motorway, Leighbury, SM3 3ED",Deleniti fugit,1959,4,4,History,5,Christopher King,Dominican Republic,Repellat dolorem porro. Velit iure nobis esse assumenda nam aliquam doloribus. Velit nobis eum odit minima qui itaque nostrum.
10,17,978-1-238-23771-0,2025-03-22,2025-04-05,2025-04-01,Miss Mary Fuller,donnellyvictor@hotmail.co.uk,+44 7837740780,"8 Clark shores, East Jessica, NW53 9TY",Adipisci veniam,1928,10,6,Technology,4,Dr Liam Ali,Malaysia,Quis vel quae. Fuga unde reiciendis nam consequuntur.
